: regex iso8859-1 tests 2001-05-24

{C	en

# character classes

E	[[:lower:]]+	Þ‗אבגדהוזחטיךכלםמןסעףפץצרשתûü‎נ‏ק	(1,29)
E	[[:upper:]]+	¿ÀÁÂÃÄÅÆÇÈÉÊËÌÍÎÏÑÒÓÔÕÖØÙÚÛÜÝÐÞ‗	(1,28)
E	[[:punct:]]+	¡¢£¤¥¦§¨©×«¬­®¯°±²³´µ¶·¸¹÷»¼½¾¿À	(0,31)
E	[[:print:]]+	¡¢£¤¥¦§¨©×«¬­®¯°±²³´µ¶·¸¹÷»¼½¾¿ÀÁÂÃÄÅÆÇÈÉÊËÌÍÎÏÑÒÓÔÕÖ×ØÙÚÛÜÝ‗אבגדהוזחטיךכלםמןסעףפץצקרשתûü‎ÐנÞ‏	(0,89)
E	[[:graph:]]+	¡¢£¤¥¦§¨©×«¬­®¯°±²³´µ¶·¸¹÷»¼½¾¿ÀÁÂÃÄÅÆÇÈÉÊËÌÍÎÏÑÒÓÔÕÖ×ØÙÚÛÜÝ‗אבגדהוזחטיךכלםמןסעףפץצקרשתûü‎ÐנÞ‏	(0,89)
E	[a-z]+	‗אבגדהוזחטיךכלםמןנסעףפץצרשתûü‎‏	(0,31)
E	[a-z]+	¿ÀÁÂÃÄÅÆÇÈÉÊËÌÍÎÏÐÑÒÓÔÕÖØÙÚÛÜÝÞ	NOMATCH
E	[[:word:]]+	ÀÁÂÃÄÅÆÇÈÉÊËÌÍÎÏÑÒÓÔÕÖØÙÚÛÜÝ‗אבגדהוזחטיךכלםמןסעףפץצרשתûü‎נ‏ÐÞ	(0,56)

# equivalence classes

E	[[=a=]]+	aאבגדהוAÀÁÂÃÄÅ	(0,7)
Ei	[[=a=]]+	aאבגדהוAÀÁÂÃÄÅ	(0,14)
E	[[=A=]]+	aאבגדהוAÀÁÂÃÄÅ	(7,14)
Ei	[[=A=]]+	aאבגדהוAÀÁÂÃÄÅ	(0,14)

# case

Ei	[A-Z]+		‗אבגדהוזחטיךכלםמןנסעףפץצרשתûü‎‏	(0,31)
Ei	[a-z]+		¿ÀÁÂÃÄÅÆÇÈÉÊËÌÍÎÏÐÑÒÓÔÕÖØÙÚÛÜÝÞ	(1,31)

Ei	ÀÁÂÃÄÅÆÇÈÉÊËÌÍÎÏÐÑÒÓÔÕÖØÙÚÛÜÝ	‗אבגדהוזחטיךכלםמןנסעףפץצרשתûü‎‏	(1,30)

}
